
user_id,email,viewed_page,form_started,scheduled,attended
U001,emma@example.com,running_shoes,yes,no,no
U002,liam@example.com,wireless_headphones,no,no,no
U003,olivia@example.com,coffee_maker,yes,yes,no
U004,noah@example.com,gaming_laptop,no,no,no
U005,ava@example.com,summer_dresses,yes,yes,yes
U006,ethan@example.com,office_chairs,no,no,no
U007,sophia@example.com,smartphone_cases,yes,no,no
U008,james@example.com,fitness_tracker,yes,yes,no
U009,isabella@example.com,skincare_bundle,no,no,no
U010,ben@example.com,holiday_gift_sets,yes,yes,yes

